Alarm ID,"Ticker, Name",Name,Beschreibung,Zeit,Webhook-Status
4330479384,"GETTEX:CHK, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [CHK]: SHORT-ZONE | W%R: 28.6,2026-03-27T18:13:49Z,
4330481344,"BATS:CQP, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [CQP]: LONG-ZONE | W%R: 72.1,2026-03-27T18:10:11Z,
4330481344,"BATS:ARX, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [ARX]: LONG-ZONE | W%R: 71.4,2026-03-27T18:09:45Z,
4330481344,"BATS:FCNCA, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [FCNCA]: LONG-ZONE | W%R: 71.4,2026-03-27T18:07:39Z,
4330481344,"BATS:DAL, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [DAL]: LONG-ZONE | W%R: 70.4,2026-03-27T18:00:32Z,
4330481344,"BATS:DTM, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [DTM]: LONG-ZONE | W%R: 71.9,2026-03-27T17:16:20Z,
4330481344,"BATS:AFG, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [AFG]: LONG-ZONE | W%R: 70.2,2026-03-27T17:11:16Z,
4330479384,"BATS:SBS, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [SBS]: LONG-ZONE | W%R: 70.1,2026-03-27T17:05:50Z,
4330481344,"BATS:ENSG, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [ENSG]: SHORT-ZONE | W%R: 29.3,2026-03-27T16:41:45Z,
4330479384,"BATS:CX, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [CX]: LONG-ZONE | W%R: 70.5,2026-03-27T16:35:15Z,
4330481344,"BATS:HP, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [HP]: LONG-ZONE | W%R: 70.2,2026-03-27T16:32:28Z,
4330479384,"BATS:HP, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [HP]: LONG-ZONE | W%R: 70.2,2026-03-27T16:32:28Z,
4330479384,"BATS:AAPL, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [AAPL]: LONG-ZONE | W%R: 70.3,2026-03-27T16:26:32Z,
4330479384,"BME_DLY:FER, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [FER]: SHORT-ZONE | W%R: 29.8,2026-03-27T15:52:49Z,
4330479384,"BATS:DLO, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [DLO]: LONG-ZONE | W%R: 80.6,2026-03-27T15:49:50Z,
4330481344,"BATS:VZ, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [VZ]: LONG-ZONE | W%R: 70.3,2026-03-27T15:48:36Z,
4330479384,"BATS:VZ, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [VZ]: LONG-ZONE | W%R: 70.3,2026-03-27T15:48:37Z,
4330479384,"LSE_DLY:SVT, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [SVT]: SHORT-ZONE | W%R: 28.3,2026-03-27T15:38:50Z,
4330481344,"BATS:ONTO, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [ONTO]: LONG-ZONE | W%R: 73.1,2026-03-27T15:37:22Z,
4330481344,"BATS:DLTR, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [DLTR]: SHORT-ZONE | W%R: 29.5,2026-03-27T15:36:44Z,
4330479384,"BATS:GEV, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [GEV]: LONG-ZONE | W%R: 79.2,2026-03-27T15:33:37Z,
4330481344,"BATS:GEV, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [GEV]: LONG-ZONE | W%R: 79.3,2026-03-27T15:33:36Z,
4330481344,"BATS:WBS, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [WBS]: LONG-ZONE | W%R: 70.6,2026-03-27T15:32:57Z,
4330481344,"BATS:BWXT, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BWXT]: LONG-ZONE | W%R: 72.9,2026-03-27T15:31:15Z,
4330479384,"BATS:BWXT, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BWXT]: LONG-ZONE | W%R: 72.9,2026-03-27T15:31:15Z,
4330479384,"BATS:FSLR, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [FSLR]: SHORT-ZONE | W%R: 28.1,2026-03-27T15:23:57Z,
4330479384,"OMXSTO_DLY:HM_B, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [HM_B]: SHORT-ZONE | W%R: 28.4,2026-03-27T15:23:38Z,
4330481344,"BATS:BWA, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BWA]: LONG-ZONE | W%R: 70.4,2026-03-27T15:22:25Z,
4330479384,"MIL_LS:TRN, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [TRN]: SHORT-ZONE | W%R: 29.9,2026-03-27T15:22:16Z,
4330481344,"BATS:POWI, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [POWI]: LONG-ZONE | W%R: 70.1,2026-03-27T15:16:17Z,
4330481344,"BATS:TJX, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [TJX]: LONG-ZONE | W%R: 70.6,2026-03-27T15:12:15Z,
4330481344,"BATS:JBLU, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [JBLU]: LONG-ZONE | W%R: 71,2026-03-27T15:10:35Z,
4330479384,"BATS:BX, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BX]: SHORT-ZONE | W%R: 30,2026-03-27T15:06:15Z,
4330479384,"MIL_LS:G, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [G]: SHORT-ZONE | W%R: 29.4,2026-03-27T15:05:49Z,
4330481344,"BATS:OR, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [OR]: SHORT-ZONE | W%R: 29.8,2026-03-27T15:04:47Z,
4330479384,"BATS:BBD, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BBD]: LONG-ZONE | W%R: 71.8,2026-03-27T15:04:16Z,
4330479384,"BATS:ITIC, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [ITIC]: SHORT-ZONE | W%R: 24.3,2026-03-27T15:00:33Z,
4330479384,"BATS:WPM, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [WPM]: SHORT-ZONE | W%R: 30,2026-03-27T14:58:52Z,
4330479384,"BATS:AEM, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [AEM]: SHORT-ZONE | W%R: 29.4,2026-03-27T14:58:28Z,
4330479384,"BATS:NEM, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [NEM]: SHORT-ZONE | W%R: 29.8,2026-03-27T14:56:18Z,
4330479384,"BATS:SCCO, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [SCCO]: SHORT-ZONE | W%R: 30,2026-03-27T14:55:37Z,
4330479384,"BATS:NI, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [NI]: SHORT-ZONE | W%R: 30,2026-03-27T14:50:48Z,
4330481344,"XETR_DLY:MUV2, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [MUV2]: SHORT-ZONE | W%R: 28.6,2026-03-27T14:49:30Z,
4330479384,"XETR_DLY:MUV2, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [MUV2]: SHORT-ZONE | W%R: 28.6,2026-03-27T14:49:30Z,
4330479384,"BATS:PAGS, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [PAGS]: LONG-ZONE | W%R: 80,2026-03-27T14:49:11Z,
4330481344,"LSE_DLY:BRBY, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BRBY]: LONG-ZONE | W%R: 75.9,2026-03-27T14:48:46Z,
4330479384,"BATS:BKR, 1T","AKJ 2.0 Sniper-Commander v14.2 (Max-Exposure) (150, 0,2, 50, 10, 1, 4): Jeder alert()-Funktionsaufruf",📡 RADAR [BKR]: LONG-ZONE | W%R: 71.3,2026-03-27T14:45:43Z,
