Alarm ID,"Ticker, Name",Name,Beschreibung,Zeit,Webhook-Status
4344037209,"SET_DLY:PSH, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] [RADAR] PSH SHORT | WPR: 25 | Status: Lauern (30er Trigger erreicht). Mode: DELTA Mode,2026-03-30T07:24:22Z,
4344037209,"OSL_DLY:BWLPG, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] !!! FEUER FREI LONG !!! BWLPG | WPR: 81.2 | Risk: 37.5€ | Stk: 4 | Wall: 100% | Vacuum: Valid. Mode: DELTA Mode,2026-03-30T07:17:46Z,
4344037209,"OSL_DLY:BWLPG, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] 🌟 GOLDEN SETUP LONG 🌟 BWLPG Premium Volumen bestätigt!,2026-03-30T07:17:46Z,
4344037209,"SIX_DLY:KNIN, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] !!! FEUER FREI LONG !!! KNIN | WPR: 81.8 | Risk: 37.5€ | Stk: 6 | Wall: 100% | Vacuum: Valid. Mode: DELTA Mode,2026-03-30T07:16:54Z,
4344037209,"SIX_DLY:KNIN, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] 🌟 GOLDEN SETUP LONG 🌟 KNIN Premium Volumen bestätigt!,2026-03-30T07:16:54Z,
4344037209,"SIX_DLY:SOON, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] [RADAR] SOON SHORT | WPR: 28.4 | Status: Lauern (30er Trigger erreicht). Mode: DELTA Mode,2026-03-30T07:16:45Z,
4344037209,"SIX_DLY:GIVN, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] !!! FEUER FREI SHORT !!! GIVN | WPR: 15.9 | Risk: 150€ | Stk: 1 | Wall: 3.6% | Vacuum: Valid. Mode: DELTA Mode,2026-03-30T07:16:44Z,
4344037209,"SIX_DLY:GIVN, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] 🌟 GOLDEN SETUP SHORT 🌟 GIVN Premium Volumen bestätigt!,2026-03-30T07:16:44Z,
4344037209,"SIX_DLY:GIVN, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] [RADAR] GIVN SHORT | WPR: 15.9 | Status: Lauern (30er Trigger erreicht). Mode: DELTA Mode,2026-03-30T07:16:44Z,
4344037209,"SIX_DLY:KNIN, 1T","AKJ 2.0 Sniper-Commander v20.5 (150, 0,2, 1, 10, 1, 4, 14, 240, 1,5, 15, 3, 8, SPY): Jeder alert()-Funktionsaufruf",[REALTIME] [RADAR] KNIN LONG | WPR: 71.5 | Status: Lauern (70er Trigger erreicht). Mode: DELTA Mode,2026-03-30T07:16:44Z,
